hasTime	range	Time
hasCommandKind	range	Command
OperationExecution	type	Class
PropertyValue	type	Class
hasFunction	type	ObjectProperty
SwitchOnService	subClassOf	Service
WellBeing	type	Task
GetMeterDataCommand	type	Class
measurementMadeBy	type	ObjectProperty
offers	range	Service
StartStopState	subClassOf	State
Property	type	Class
ToggleCommand	subClassOf	Command
hasPropertyOfInterest	inverseOf	isPropertyOfInterestOf
isExecutionOf	domain	ProcedureExecution
Sensor	type	Class
relatesToProperty	deprecated	true
isOfferedBy	type	ObjectProperty
hasPropertyKind	domain	PropertyOfInterest
isOfferedBy	inverseOf	offers
hasCommandKind	domain	CommandOfInterest
SensingFunction	deprecated	true
isFunctionOf	type	ObjectProperty
hasOperation	type	ObjectProperty
hasThresholdMeasurement	type	ObjectProperty
hasProperty	range	Property
hasSensorType	domain	SensingFunction
isFunctionOf	inverseOf	hasFunction
Actuator	subClassOf	Device
CommandExecution	subClassOf	ProcedureExecution
hasMeasurement	range	Measurement
Measurement	deprecated	true
Water	subClassOf	Commodity
offers	type	ObjectProperty
measurementMadeBy	domain	Measurement
controls	type	ObjectProperty
CommandExecution	type	Class
isOfferedBy	domain	Service
isAccomplishedBy	inverseOf	accomplishes
ToggleCommand	deprecated	true
ActuatingFunction	subClassOf	Function
hasCommandOfInterest	domain	FunctionOfInterest
hasOutput	type	ObjectProperty
StartStopState	type	Class
makesMeasurement	type	ObjectProperty
controlsProperty	domain	Device
PauseCommand	subClassOf	Command
isMeasuredByDevice	domain	Property
OpenCommand	type	Class
MultiLevelState	deprecated	true
hasTypicalConsumption	type	ObjectProperty
modified	type	AnnotationProperty
isFunctionOf	domain	Function
Meter	label	Meter
OnOffFunction	subClassOf	ActuatingFunction
profileHasPrice	type	ObjectProperty
hasProperty	type	ObjectProperty
hasResult	type	ObjectProperty
SetAbsoluteLevelCommand	subClassOf	Command
isStoredBy	inverseOf	stores
hasFunction	inverseOf	isFunctionOf
Task	label	Task
OnOffState	deprecated	true
profileHasPrice	range	PropertyValue
narrower	type	ObjectProperty
EventFunction	type	Class
isActedUponBy	type	ObjectProperty
isOperationOf	domain	Operation
OpenCloseFunction	subClassOf	ActuatingFunction
hasStateOfInterest	domain	FeatureOfInterest
FeatureKind	type	Class
PauseCommand	deprecated	true
SmokeSensor	deprecated	true
hasDeviceKind	domain	Device
Time	label	Time
Smoke	deprecated	true
hasResultTime	range	dateTime
Appliance	type	Class
MeterReading	deprecated	true
relatesToMeasurement	range	Measurement
madeBy	range	FeatureOfInterest
hasValue	type	DatatypeProperty
isStateOf	domain	State
Entertainment	label	Entertainment
isControlledBy	inverseOf	controls
SetAbsoluteLevelCommand	deprecated	true
hasDeviceKind	subPropertyOf	hasFeatureKind
Function	type	Class
Currency	type	Class
OffCommand	subClassOf	Command
EventFunction	deprecated	true
isCommandOfInterestOf	domain	CommandOfInterest
isOperationOf	range	Service
EnergyEfficiency	type	Task
Motion	label	Motion
MeterReading	type	Task
example	type	AnnotationProperty
HVAC	type	Class
whenPropertyValue	type	ObjectProperty
isOfferedBy	type	FunctionalProperty
Light	deprecated	true
DoorSwitch	subClassOf	Switch
Device	subClassOf	System
Meter	type	Class
OnState	type	Class
broader	inverseOf	narrower
isStateOfInterestOf	inverseOf	hasStateOfInterest
hasMeterReading	range	Measurement
stores	label	stores
Actuator	type	Class
StateOfInterest	type	Class
hasMandatoryCommand	subPropertyOf	hasCommand
Switch	label	Switch
Observation	subClassOf	ProcedureExecution
isMeasuredByDevice	type	ObjectProperty
Measurement	label	Measurement
OffCommand	deprecated	true
isAccomplishedBy	domain	Task
isPropertyOfInterestOf	type	FunctionalProperty
EnergyUnit	type	Class
MeteringFunction	type	Class
hasStateKind	range	State
hasState	range	State
Time	type	Class
measurementMadeBy	deprecated	true
hasFunctionKind	range	Function
IlluminanceUnit	subClassOf	UnitOfMeasure
hasPhenomenonTime	type	ObjectProperty
offers	domain	Device
Pressure	deprecated	true
hasThresholdMeasurement	deprecated	true
GetCurrentMeterValueCommand	type	Class
whenState	domain	Profile
Coal	type	Class
relatesToProperty	domain	Measurement
hasOperation	range	Operation
hasSensorType	range	Property
StepUpCommand	type	Class
relatesToMeasurement	domain	Property
PowerUnit	subClassOf	UnitOfMeasure
makesMeasurement	deprecated	true
GetCurrentMeterValueCommand	deprecated	true
Occupancy	type	Class
Electricity	type	Class
GetMeterHistoryCommand	deprecated	true
NaturalResourceCommodity	type	Class
hasTypicalConsumption	deprecated	true
Comfort	label	Comfort
MeteringFunction	deprecated	true
EnergyUnit	deprecated	true
Comfort	type	Task
isOfferedBy	range	Device
isMeasuredIn	range	UnitOfMeasure
hasStateKind	type	ObjectProperty
Time	deprecated	true
Safety	label	Safety
Washing	label	Washing
OnCommand	subClassOf	Command
TemperatureUnit	subClassOf	UnitOfMeasure
Price	label	Price
OpenCloseState	subClassOf	State
Coal	deprecated	true
license	type	AnnotationProperty
hasOperation	domain	Service
madeExecution	range	ProcedureExecution
isStateOfInterestOf	range	FeatureOfInterest
hasMeasurement	type	ObjectProperty
OnCommand	type	Class
EnergyCommodity	type	Class
hasThresholdMeasurement	domain	EventFunction
isMeasurementOf	type	ObjectProperty
StepDownCommand	type	Class
Motion	type	Class
