description	type	AnnotationProperty
dateSubmitted	range	Literal
DDC	label	DDC
rightsHolder	range	Agent
ReadArticleTask	type	Class
DiagnosisType	type	Class
handTrajectory	range	HandTrajectoryType
accessRights	type	AnnotationProperty
dsm_ivDepressionCriteria	seeAlso	Diagnostic_and_Statistical_Manual_of_Mental_Disorders
WalkingTask	subClassOf	DirectedTask
modified	subPropertyOf	date
hasUPDRSScore	domain	MotricityAbilitiesAssessment
preferredNamespacePrefix	type	AnnotationProperty
NLM	type	VocabularyEncodingScheme
hasProtocolStep	seeAlso	ProtocolStep
vowelDuration	domain	VoiceData
DirectedExpressionTask	type	Class
stressLevel	seeAlso	StressData
references	label	References
CognitiveAbilitiesData	subClassOf	MeasuredData
hasFormat	subPropertyOf	relation
dateAccepted	type	AnnotationProperty
conformsTo	type	AnnotationProperty
walkingSpeed	type	DatatypeProperty
relation	type	AnnotationProperty
source	type	AnnotationProperty
CognitiveAbilitiesAssessment	subClassOf	ClinicalAssessment
FunctionalAbilitiesData	subClassOf	MeasuredData
PhysicalMedium	subClassOf	MediaType
hasClinicalDiagnosis	seeAlso	DiagnosisType
format	type	AnnotationProperty
isRequiredBy	subPropertyOf	relation
articulation	domain	VoiceData
activityStatus	seeAlso	ActivityStatusType
Agent	type	NamedIndividual
FileFormat	subClassOf	MediaType
abstract	type	AnnotationProperty
dateCopyrighted	type	AnnotationProperty
type	label	Type
VocabularyEncodingScheme	type	Class
available	type	AnnotationProperty
dementia	type	DiagnosisType
ClinicalRecord	type	Class
hasVersion	type	AnnotationProperty
CognitiveAbilitiesData	type	Class
modified	type	DatatypeProperty
DiagnosisAssessment	seeAlso	PersonWithPredementia
source	subPropertyOf	source
LinguisticSystem	type	Class
participates	seeAlso	hasParticipant
FunctionalAbilitiesData	type	Class
bibliographicCitation	subPropertyOf	identifier
issued	subPropertyOf	date
areasOfNoInterestExplored	domain	OrganisationEfficiencyData
license	label	License
iadl_e	type	DatatypeProperty
DiagnosisAssessment	seeAlso	HealthyControlParticipant
healthy	type	NamedIndividual
identifier	type	AnnotationProperty
license	type	AnnotationProperty
handTrajectory	seeAlso	FunctionalAbilitiesData
NeuropsychiatricAndMoodAssessment	seeAlso	npi
pauseRate	seeAlso	VoiceData
accessRights	type	ObjectProperty
freeAndCuedRemindingAssessment	domain	CognitiveAbilitiesAssessment
bibliographicCitation	type	AnnotationProperty
subject	type	AnnotationProperty
creator	subPropertyOf	contributor
articulation	type	DatatypeProperty
fabScore	domain	CognitiveAbilitiesAssessment
BibliographicResource	type	Class
isClinicalRecordOf	type	ObjectProperty
accrualPeriodicity	domain	Collection
involvesTask	domain	ProtocolStep
hasVersion	subPropertyOf	relation
shortCognitiveBatteryAssessment	seeAlso	CognitiveAbilitiesAssessment
NeuropsychiatricAndMoodAssessment	subClassOf	ClinicalAssessment
apathyInventory	type	DatatypeProperty
isPartOf	type	AnnotationProperty
ClinicalAssessment	type	Class
references	subPropertyOf	relation
PeriodOfTime	subClassOf	LocationPeriodOrJurisdiction
LicenseDocument	subClassOf	RightsStatement
SizeOrDuration	subClassOf	MediaTypeOrExtent
SemiDirectedActivitiesStep	type	Class
isVersionOf	type	AnnotationProperty
iadl_e	seeAlso	AutonomyAssessment
ClinicalAssessment	seeAlso	MotricityAbilitiesAssessment
verbalReactionSpontaneity	seeAlso	DiscussionInvolvementData
replaces	subPropertyOf	relation
Protocol	seeAlso	ProtocolStep
latency	domain	LatencyData
accrualPolicy	domain	Collection
LCSH	label	LCSH
hasPart	type	AnnotationProperty
ProtocolStep	seeAlso	DiscussionWithClinicianStep
issued	type	AnnotationProperty
repetitions	seeAlso	SemiDirectedTask
isReplacedBy	subPropertyOf	relation
hasClinicalDiagnosis	subPropertyOf	topObjectProperty
mediator	subPropertyOf	audience
medium	type	ObjectProperty
Protocol	seeAlso	MeasuredData
description	subPropertyOf	description
extent	subPropertyOf	format
StressData	subClassOf	MeasuredData
hasProtocolStep	range	ProtocolStep
source	label	Source
PhysicalResource	type	Class
TGN	type	NamedIndividual
dateCopyrighted	range	Literal
contributor	type	AnnotationProperty
available	range	Literal
isPartOf	subPropertyOf	relation
walkingSpeedInstantaneous	seeAlso	GaitData
publisher	subPropertyOf	publisher
bibliographicCitation	domain	BibliographicResource
isVersionOf	subPropertyOf	relation
license	type	ObjectProperty
distanceWalked	type	DatatypeProperty
isReferencedBy	subPropertyOf	relation
verbalReactionTime	type	DatatypeProperty
stepLength	seeAlso	GaitData
Protocol	type	Class
format	type	AnnotationProperty
dateSubmitted	type	AnnotationProperty
temporal	subPropertyOf	coverage
PrepareHotTeaTask	subClassOf	SemiDirectedTask
ClinicalRecord	seeAlso	ClinicalAssessment
completed	type	ActivityStatusType
HealthyControlParticipant	seeAlso	DiagnosisType
format	subPropertyOf	format
Frequency	label	Frequency
activityStatus	range	ActivityStatusType
AutonomyAssessment	type	Class
MediaType	type	Class
DCMIType	type	VocabularyEncodingScheme
completed	type	NamedIndividual
LCSH	type	VocabularyEncodingScheme
DiagnosisAssessment	subClassOf	ClinicalAssessment
accrualPeriodicity	type	AnnotationProperty
language	type	AnnotationProperty
compliantInstructionsOrder	domain	CognitiveAbilitiesData
walkingSpeedInstantaneous	domain	GaitData
tableOfContents	subPropertyOf	description
PictureDiscussionTask	type	Class
ClinicalAssessment	seeAlso	NeuropsychiatricAndMoodAssessment
ActivityStatusType	type	Class
title	subPropertyOf	title
speechFluency	type	DatatypeProperty
identifier	type	DatatypeProperty
source	type	AnnotationProperty
HealthyControlParticipant	seeAlso	ClinicalRecord
Frequency	type	Class
temporal	subPropertyOf	coverage
NLM	type	NamedIndividual
date	type	DatatypeProperty
audience	label	Audience
bibliographicCitation	type	DatatypeProperty
LeaveRoomTask	subClassOf	SemiDirectedTask
AgentClass	subClassOf	Class
temporal	type	AnnotationProperty
measuredData	range	MeasuredData
PayBillTask	type	Class
EstablishAccountBalanceTask	type	Class
license	range	LicenseDocument
Policy	type	Class
title	label	Title
hasClinicalRecord	range	ClinicalRecord
