metre	type	LengthUnit
hertz	type	FrequencyUnit
LightPoint	type	Class
hasProjectionAngle	type	DatatypeProperty
ScatteringOfLight	type	NamedIndividual
Measurement	disjointWith	Geometry
Color	disjointWith	CompassDirection
DigitalRepresentation	disjointWith	Light
hasComponent	inverseOf	isComponentOf
hectometre	type	NamedIndividual
Property	disjointWith	Light
hasValue	type	DatatypeProperty
PeriodMeasurement	type	Class
HeightMeasurement	type	Class
metre	label	Metre
CommunicationProtocol	disjointWith	CompassDirection
isConnectedTo	type	SymmetricProperty
UnitOfMeasure	disjointWith	CommunicationProtocol
hasTag	range	string
System	type	Class
CompassDirection	disjointWith	DigitalRepresentation
hasProjectionAngle	range	float
CommunicationProtocol	disjointWith	DigitalRepresentation
CommunicationInterface	disjointWith	Geometry
FrequencyMeasurement	type	Class
Luminiscence	label	Luminiscence
location	type	ObjectProperty
hasFlash	type	FunctionalProperty
Property	disjointWith	CommunicationInterface
Actuator	label	Actuator
hertz	label	Hertz
UnitOfMeasure	type	Class
Measurement	disjointWith	Property
DigitalRepresentation	disjointWith	Geometry
hasFlash	type	DatatypeProperty
Measurement	disjointWith	DigitalRepresentation
Property	disjointWith	Geometry
Geometry	label	Geometry
hasDigitalRepresentation	type	InverseFunctionalProperty
hasLightPoint	type	ObjectProperty
Device	subClassOf	Device
hasCreationDate	type	FunctionalProperty
Point	type	Class
Height	type	NamedIndividual
isAccesibleThrough	type	ObjectProperty
reciprocal_year	type	FrequencyUnit
decametre	type	LengthUnit
hasDescription	type	DatatypeProperty
LengthUnit	subClassOf	UnitOfMeasure
hasCreationDate	type	DatatypeProperty
hasShield	type	FunctionalProperty
CommunicationInterface	disjointWith	DigitalRepresentation
LightProperty	type	Class
preferredNamespacePrefix	type	AnnotationProperty
contains	type	ObjectProperty
reciprocal_hour	type	FrequencyUnit
hasShield	type	DatatypeProperty
hasManufacturer	type	DatatypeProperty
UnitOfMeasure	disjointWith	Geometry
hasComponent	type	ObjectProperty
hasComponent	type	TransitiveProperty
