Building	label	Building
Value	label	Value
hasProperty	type	ObjectProperty
SystemCapability	isDefinedBy	ssn
OperatingRange	subClassOf	Property
aboutProperty	type	FunctionalProperty
hasSystemProperty	isDefinedBy	ssn
Accuracy	isDefinedBy	ssn
serviceName	subPropertyOf	name
DigitalUser	type	Class
Resolution	seeAlso	MeasuringCapability
City	subClassOf	AdministrativeArea
owns	label	owns
avatar	subPropertyOf	depiction
Condition	type	Class
isSpaceOf	type	ObjectProperty
isEcosystemDescribedBy	type	InverseFunctionalProperty
Deployment	type	Class
Sensitivity	subClassOf	SystemProperty
Building	type	Class
MeasurementRange	subClassOf	SystemProperty
Accuracy	type	Class
Condition	isDefinedBy	ssn
term_status	type	AnnotationProperty
isLocatedAt	type	ObjectProperty
Device	subClassOf	System
ObservableProperty	subClassOf	Property
SurvivalRange	seeAlso	OperatingRestriction
Resource	type	Class
PhysicalObject	type	Class
isNeighbourhoodOf	subPropertyOf	involves
hasOperatingRange	isDefinedBy	ssn
SystemProperty	subClassOf	Property
servicePetitioner	type	ObjectProperty
Feature	disjointWith	Geometry
isRepresentedBy	range	Thing
serviceId	range	string
Resolution	isDefinedBy	ssn
owns	type	ObjectProperty
sfContains	type	ObjectProperty
dataModelVersion	range	string
readWrite	domain	Contract
Actuator	type	Class
Drift	type	Class
BuildingSpace	subClassOf	Feature
hasSurvivalProperty	subPropertyOf	hasProperty
hasSystemCapability	subPropertyOf	hasProperty
isComposedBy	type	ObjectProperty
location	type	ObjectProperty
serviceName	type	DatatypeProperty
exposes	range	Thing
hasOperatingProperty	isDefinedBy	ssn
deviceDescription	type	DatatypeProperty
Property	label	Property
Sensor	type	Class
OperatingProperty	type	Class
hasOwner	type	ObjectProperty
ResponseTime	subClassOf	SystemProperty
hasPartnershipWith	range	Organization
softwareVersion	range	string
hasMaxValue	label	hasMaxValue
isComposedBy	type	TransitiveProperty
description	range	string
OperatingRange	isDefinedBy	ssn
hadPrimarySource	type	AnnotationProperty
Property	seeAlso	Skeleton
serialNumber	range	string
hasNeighbourhood	range	Neighbourhood
Agent	subClassOf	Agent
ThingEcosystemDescription	type	Class
Contract	label	Contract
Latency	seeAlso	MeasuringCapability
Drift	label	Drift
hasSpace	type	ObjectProperty
SystemLifetime	seeAlso	OperatingRestriction
Property	label	Property
relativeHref	domain	RelativeEndpoint
expressedInFormat	type	ObjectProperty
serviceId	domain	Service
contractId	type	DatatypeProperty
ActuatableProperty	subClassOf	Property
serviceVersion	domain	Service
serviceVersion	range	string
PhysicalThing	type	Class
